,h,s,v,num
262246,108,126,125,108
278628,109,131,125,88
289518,135,103,144,77
300950,135,103,143,67
302567,135,102,145,66
304756,145,102,125,64
307218,108,122,125,62
310048,144,108,125,60
312965,139,102,125,58
313180,109,120,125,58
315800,146,104,125,56
315847,135,104,142,56
316064,109,130,126,56
318933,108,129,125,54
320505,134,113,145,53
322149,109,129,125,52
325278,136,109,133,50
325734,136,105,136,50
325735,136,108,134,50
327047,135,105,141,49
328755,146,110,125,48
328833,135,106,140,48
329151,108,106,125,48
330987,136,104,137,47
332289,145,108,125,46
332899,136,106,135,46
332902,142,141,125,46
334257,136,103,138,45
334654,136,107,141,45
336826,136,105,139,44
338229,136,103,141,43
339975,109,129,127,42
340096,140,102,125,42
340100,142,102,128,42
340206,142,131,125,42
342482,137,108,142,41
342483,136,108,135,41
342709,109,128,128,41
344433,143,103,129,40
344434,143,105,126,40
344538,138,102,125,40
344906,108,124,127,40
345169,134,110,148,40
345170,134,111,147,40
345171,136,107,134,40
345172,136,106,142,40
345173,136,111,131,40
346793,136,103,139,39
349040,144,102,125,38
349044,143,102,130,38
349159,141,133,125,38
349563,108,125,126,38
351384,139,102,133,37
351396,137,109,141,37
351865,134,106,147,37
351866,136,105,138,37
353611,142,104,125,36
353750,136,102,142,36
353751,135,106,139,36
356894,134,113,151,35
358607,143,106,125,34
358754,134,106,154,34
358773,136,109,138,34
358774,137,102,130,34
359233,109,124,125,34
359234,109,108,125,34
359582,134,105,155,34
359583,134,112,146,34
359589,142,135,125,34
361437,136,102,140,33
361438,138,102,138,33
361439,137,103,129,33
361450,139,102,132,33
362118,134,113,144,33
362119,135,107,138,33
362138,139,104,154,33
363630,108,124,128,32
364160,144,122,125,32
364301,138,102,137,32
364326,136,106,137,32
366986,143,104,128,31
366987,144,102,133,31
367173,136,108,139,31
367174,136,102,135,31
367539,109,119,126,31
367739,134,110,149,31
367740,134,115,142,31
367751,142,139,127,31
369739,142,103,126,30
369913,139,103,131,30
370505,109,127,129,30
371064,134,112,153,30
371065,136,107,133,30
371078,141,155,125,30
372992,141,121,137,29
372993,141,122,136,29
372994,141,105,141,29
373168,139,104,155,29
373169,137,103,141,29
373204,135,107,143,29
373205,135,106,144,29
373206,136,110,137,29
373620,109,128,126,29
373887,134,114,150,29
373888,135,113,135,29
375992,144,116,125,28
375994,144,129,125,28
376223,136,111,136,28
376481,112,106,175,28
376482,113,103,168,28
377309,136,110,132,28
377317,131,102,125,28
379363,143,104,127,27
379364,141,132,126,27
379567,139,102,158,27
379568,141,106,145,27
379569,141,104,142,27
379612,136,109,140,27
380024,108,126,128,27
380509,134,109,150,27
380510,135,102,138,27
380511,134,107,146,27
380527,136,105,143,27
382764,143,135,125,26
382768,142,102,127,26
382769,142,127,129,26
382770,144,107,126,26
382771,143,124,128,26
382962,144,110,125,26
382963,140,104,125,26
383009,137,107,143,26
383010,136,103,134,26
383024,137,102,135,26
383752,108,133,125,26
383756,108,125,129,26
384308,137,103,134,26
385890,108,120,128,25
386489,141,116,138,25
386490,141,125,133,25
386491,141,123,135,25
386725,139,103,156,25
386726,139,102,157,25
386727,141,114,146,25
387610,135,106,145,25
387611,136,111,135,25
390052,146,112,125,24
390053,143,133,125,24
390061,142,117,139,24
390062,141,124,134,24
390063,142,126,130,24
390064,143,128,129,24
390065,144,128,126,24
390279,143,108,125,24
390281,142,136,129,24
390335,138,112,125,24
390659,113,102,170,24
390973,108,104,128,24
391106,108,116,125,24
391111,108,126,127,24
391112,109,126,127,24
391875,134,104,144,24
391876,134,107,145,24
391877,135,110,135,24
391878,137,104,133,24
391879,137,104,132,24
391907,137,110,125,24
391908,142,153,125,24
391914,142,147,125,24
391919,142,151,127,24
394221,145,105,129,23
394461,140,103,149,23
394462,141,103,144,23
394463,141,131,127,23
394524,136,102,143,23
394538,139,104,130,23
394586,133,102,135,23
395084,108,123,129,23
395449,132,104,160,23
395450,132,104,159,23
395451,134,108,151,23
395452,134,115,148,23
395453,134,112,152,23
395454,133,105,148,23
395455,136,113,135,23
395456,135,103,136,23
395457,136,104,140,23
395489,142,146,126,23
398051,142,104,137,22
398052,141,110,135,22
398053,141,129,134,22
398054,144,104,130,22
398055,144,106,127,22
398056,143,124,127,22
398307,143,114,125,22
398308,142,120,125,22
398309,143,120,125,22
398310,142,108,125,22
398311,141,114,145,22
398312,142,134,126,22
398313,138,105,134,22
398382,136,107,143,22
398383,136,107,136,22
398469,133,106,125,22
398784,113,103,166,22
399283,108,121,126,22
400038,134,107,152,22
400039,133,104,150,22
400040,136,111,138,22
400041,136,105,131,22
400042,136,112,134,22
400064,141,159,125,22
400066,139,105,153,22
400067,142,138,133,22
402578,140,111,145,21
402579,141,102,137,21
402580,142,119,137,21
402581,142,130,135,21
402582,142,105,136,21
402583,142,128,128,21
402584,144,106,128,21
402820,139,102,155,21
402821,137,109,140,21
402880,136,110,139,21
403520,108,115,126,21
404192,132,105,153,21
404193,134,111,154,21
404194,134,105,156,21
404195,134,110,142,21
404196,134,105,143,21
404197,136,107,140,21
404232,142,144,133,21
406232,108,129,128,20
406233,108,119,129,20
407100,145,112,125,20
407101,143,137,125,20
407111,140,103,126,20
407112,142,118,138,20
407113,141,107,138,20
407114,144,110,132,20
407115,143,125,126,20
407116,143,121,131,20
407390,141,104,147,20
407391,141,105,146,20
407392,141,115,144,20
407393,144,104,133,20
407466,135,103,149,20
407467,134,103,146,20
407468,137,111,138,20
407469,137,113,136,20
407470,138,107,131,20
408241,109,112,125,20
408249,108,114,128,20
408412,109,126,130,20
408413,109,118,127,20
409224,132,106,156,20
409225,133,103,151,20
409226,133,106,147,20
409227,133,104,149,20
409228,134,114,143,20
409229,134,109,143,20
409230,135,105,151,20
409231,135,108,137,20
409232,137,108,135,20
409233,136,112,130,20
409234,136,113,129,20
409235,137,106,130,20
409270,141,149,125,20
409279,141,111,149,20
409280,142,159,127,20
409284,142,140,137,20
412042,133,104,133,19
412043,134,102,168,19
412044,141,104,135,19
412045,141,128,136,19
412046,143,105,129,19
412047,142,102,140,19
412048,144,103,131,19
412049,142,126,134,19
412050,144,105,131,19
412051,143,119,126,19
412338,140,102,150,19
412339,140,105,146,19
412340,141,113,147,19
412341,139,104,137,19
412432,137,112,139,19
412433,138,106,132,19
