,h,s,v,num
182776,8,219,112,316
185114,8,217,113,306
189912,8,218,116,286
190437,8,220,115,284
208762,8,215,114,220
230404,8,221,114,164
237309,8,216,117,150
239256,8,221,119,146
250445,8,221,111,126
251643,8,223,118,124
259585,8,219,120,112
263803,8,217,121,106
266746,8,213,115,102
271437,8,218,118,96
276606,8,214,118,90
286319,8,220,117,80
288313,8,216,119,78
288338,7,194,117,78
297268,8,192,121,70
299750,8,183,134,68
302193,8,145,111,66
304787,8,224,117,64
304821,8,154,136,64
307492,8,181,135,62
310013,8,180,146,60
310017,8,143,112,60
310074,8,223,119,60
310114,8,187,124,60
310115,8,193,120,60
310214,8,141,112,60
312885,8,142,113,58
312953,8,211,116,58
312982,8,191,128,58
312983,8,186,125,58
312984,8,190,122,58
315834,8,223,113,56
315874,8,199,123,56
315875,8,189,123,56
315876,7,188,121,56
318713,8,202,121,54
318756,8,195,119,54
321855,8,217,114,52
321887,7,191,119,52
321915,8,201,122,52
321916,8,155,135,52
321928,8,142,111,52
325312,8,185,132,50
325313,7,196,116,50
328687,8,181,145,48
328688,8,172,142,48
328799,8,215,122,48
328869,8,197,124,48
328870,8,184,133,48
329009,8,128,214,48
329010,8,128,213,48
331540,8,171,148,46
332343,8,226,116,46
332344,8,222,116,46
332411,8,193,127,46
334283,7,189,120,45
335994,8,144,110,44
335995,8,146,110,44
336197,8,219,119,44
336198,8,220,118,44
336199,8,219,113,44
336294,4,213,109,44
336295,7,186,122,44
339162,8,161,103,42
339241,8,175,140,42
339242,8,175,149,42
339243,8,145,169,42
339244,8,169,149,42
339299,8,136,109,42
339614,8,144,170,42
339942,5,176,113,42
340010,8,175,144,42
340011,8,177,147,42
340012,8,175,147,42
340162,8,225,118,42
340163,7,197,115,42
340226,8,190,133,42
340270,8,190,121,42
340271,8,189,139,42
340272,8,180,136,42
340273,7,192,118,42
343555,8,168,150,40
343621,8,145,134,40
343734,8,127,116,40
344287,7,185,123,40
344357,8,172,147,40
344486,8,215,115,40
344585,8,177,138,40
344586,8,185,124,40
344587,8,191,120,40
344588,8,184,137,40
346522,7,144,110,39
348178,8,131,123,38
348179,8,132,126,38
348446,8,130,106,38
348835,8,146,108,38
348954,8,184,143,38
348955,8,171,143,38
349109,8,214,123,38
349110,8,221,120,38
349246,8,187,123,38
349247,8,188,140,38
349248,8,160,131,38
352647,8,173,146,36
352648,8,174,145,36
352649,8,177,148,36
352650,8,165,153,36
352701,8,137,123,36
352963,8,138,116,36
353213,8,162,104,36
353506,8,170,144,36
353507,8,182,139,36
353508,8,183,138,36
353681,8,142,117,36
353682,8,197,118,36
353814,8,181,127,36
353815,8,157,133,36
354011,8,127,215,36
356439,7,180,125,35
357712,8,178,149,34
357757,8,127,108,34
358416,7,181,124,34
358417,8,184,125,34
358418,7,184,122,34
358419,8,138,120,34
358420,8,144,117,34
358431,8,143,176,34
358508,8,182,144,34
358509,8,183,142,34
358510,8,180,140,34
358698,8,212,107,34
358846,7,182,123,34
358847,8,186,133,34
358848,4,215,108,34
358849,8,182,136,34
358850,8,156,134,34
358851,8,187,131,34
358852,8,177,125,34
358853,7,196,121,34
358856,8,168,108,34
358857,8,167,107,34
361056,5,178,112,33
361057,7,145,109,33
361518,4,217,106,33
362939,8,145,109,32
363098,8,127,142,32
363099,8,144,135,32
363100,8,154,126,32
363101,8,147,132,32
363102,8,133,125,32
363931,4,175,115,32
363947,8,144,175,32
363981,8,136,124,32
364041,8,174,148,32
364042,8,163,155,32
364043,8,169,145,32
364044,8,185,142,32
364059,8,147,109,32
364248,8,225,121,32
364408,8,196,125,32
364409,8,194,126,32
364410,8,184,126,32
364411,8,199,122,32
364412,8,187,135,32
364413,8,182,126,32
364414,8,148,133,32
364415,8,152,119,32
364416,7,185,121,32
364417,8,171,106,32
364678,8,147,167,32
364679,8,147,166,32
367252,4,213,115,31
368656,8,164,154,30
