,h,s,v,num
208,103,13,174,38184
211,103,13,173,38047
227,103,13,176,37435
229,103,13,175,37384
231,103,13,172,37341
244,103,13,177,37056
264,103,13,171,36693
291,103,13,178,36162
320,101,12,173,35518
333,101,12,172,35384
347,101,12,174,35183
352,101,12,175,35094
367,101,12,171,34972
374,101,12,176,34817
401,103,13,179,34564
410,101,12,170,34495
412,101,12,177,34437
420,101,12,166,34304
427,55,10,152,34235
430,101,12,169,34212
431,101,12,165,34211
433,55,10,151,34199
464,101,12,168,33914
482,55,10,153,33684
488,101,12,167,33656
492,103,13,180,33618
500,55,10,158,33557
512,101,12,164,33450
526,103,13,181,33286
527,101,11,178,33286
528,103,10,173,33281
533,55,10,159,33233
543,103,10,174,33121
545,101,13,163,33114
560,103,10,175,33005
564,103,11,170,32926
575,103,10,171,32788
577,90,9,170,32774
579,55,10,160,32773
587,55,10,157,32669
599,103,11,169,32581
607,55,10,154,32450
610,103,11,167,32422
611,101,11,179,32419
620,90,9,169,32352
626,103,10,172,32316
640,103,13,182,32221
643,90,9,172,32187
650,101,13,162,32142
671,101,11,180,31986
675,103,11,168,31923
677,110,4,171,31874
685,103,11,165,31843
687,55,10,150,31837
688,103,10,176,31831
691,103,11,166,31786
702,101,11,181,31681
705,90,9,173,31673
708,101,13,161,31642
710,90,9,171,31635
717,110,5,170,31583
718,90,9,168,31582
736,60,12,152,31451
737,101,13,160,31448
740,90,9,164,31420
742,103,11,161,31413
749,55,10,161,31334
750,60,12,151,31323
753,90,9,163,31307
757,103,11,163,31270
761,90,9,166,31262
765,90,9,167,31229
768,90,9,165,31208
770,110,5,169,31188
775,103,11,164,31164
778,87,13,173,31141
782,103,11,162,31067
785,55,10,156,31058
787,90,9,174,31046
798,103,13,183,30992
799,110,4,172,30963
805,87,13,174,30921
808,90,9,162,30898
817,110,5,168,30855
820,90,10,159,30837
832,101,11,182,30748
839,103,11,160,30716
845,101,13,159,30692
854,90,10,158,30636
866,101,13,158,30556
875,90,10,157,30514
878,90,10,160,30500
881,103,10,177,30482
892,90,9,175,30413
900,60,11,157,30371
903,60,12,153,30356
905,87,13,175,30351
906,90,10,156,30351
910,90,10,161,30344
928,55,10,155,30245
942,90,9,176,30162
943,96,8,164,30161
944,60,12,150,30132
945,60,11,159,30125
965,110,4,173,29944
966,103,12,184,29940
968,60,11,158,29919
971,103,11,159,29878
976,96,8,169,29846
985,96,8,165,29824
987,60,11,156,29808
988,103,10,178,29799
990,55,9,164,29790
994,87,13,180,29769
995,96,8,168,29765
996,96,7,171,29762
998,90,10,155,29748
999,87,13,172,29746
1013,101,13,157,29659
1019,55,9,165,29631
1030,60,11,164,29584
1035,80,10,158,29521
1037,96,7,172,29509
1040,96,8,170,29491
1042,60,11,160,29470
1050,90,9,177,29418
1064,55,9,166,29321
1065,87,13,176,29320
1068,80,10,156,29305
1069,101,11,183,29301
1070,87,13,171,29294
1072,110,5,162,29290
1074,55,9,167,29279
1080,60,11,165,29226
1084,110,5,164,29218
1092,110,5,167,29181
1095,60,12,155,29166
1096,80,10,157,29161
1098,96,8,167,29145
1100,60,12,154,29142
1101,110,5,161,29120
1107,103,12,185,29057
1113,96,8,163,29017
1115,96,8,166,29013
1123,55,9,163,28986
1126,80,10,159,28973
1128,66,8,150,28966
1129,90,10,154,28964
1132,110,4,174,28947
1133,90,9,178,28946
1138,103,10,179,28928
1140,55,9,162,28926
1141,103,10,180,28924
1142,80,13,174,28918
1143,110,5,163,28915
1144,96,8,162,28905
1145,66,8,151,28899
1147,103,12,186,28868
1148,87,13,179,28868
1154,55,10,149,28819
1157,103,12,187,28798
1164,55,10,146,28770
1168,80,13,175,28762
1170,60,11,163,28749
1172,80,13,173,28724
1173,110,5,160,28724
1181,101,13,156,28670
1184,110,5,165,28642
1185,103,10,181,28640
1187,109,12,174,28633
1192,110,5,166,28609
1196,110,5,158,28588
1197,55,10,147,28587
1200,80,10,160,28579
1203,96,7,173,28570
1213,109,12,172,28525
1218,110,5,159,28510
1221,90,10,152,28501
1223,87,13,177,28495
1225,70,10,155,28476
1227,60,11,166,28469
1230,60,11,161,28458
1231,90,10,153,28451
1236,103,12,188,28424
1242,66,8,158,28402
1243,90,9,179,28391
1245,110,5,157,28362
1250,80,10,161,28346
1254,60,11,162,28323
1258,96,8,158,28284
1264,109,12,173,28260
1269,96,7,175,28247
1272,103,11,158,28221
1278,80,10,155,28187
1280,87,13,181,28177
1284,101,13,155,28154
1286,80,13,172,28150
1289,66,8,157,28143
1290,96,7,174,28142
1294,66,8,152,28127
1302,80,10,154,28098
1305,70,10,156,28083
1315,87,13,178,28054
1317,110,4,175,28045
1327,109,12,175,27987
1329,109,12,177,27977
1330,96,8,161,27969
1334,70,10,154,27954
1338,96,8,159,27940
1339,103,12,189,27933
1341,109,12,171,27920
1342,96,8,160,27905
1350,80,9,162,27845
1353,55,9,168,27842
1355,66,8,156,27821
1356,80,13,171,27809
1358,60,12,149,27803
1368,66,8,153,27752
1378,70,10,153,27682
1390,109,11,178,27630
1401,55,10,148,27576
1403,66,8,159,27570
1405,103,10,182,27553
1406,101,11,184,27532
1407,109,12,176,27530
1408,70,10,157,27529
1411,90,9,180,27504
1412,80,13,176,27503
1418,90,10,151,27481
1424,42,8,152,27453
1436,101,13,154,27404
1442,80,10,152,27385
1446,80,10,153,27369
1460,96,7,176,27296
1462,80,10,151,27293
1465,80,9,163,27282
1466,110,4,176,27274
1472,80,9,172,27252
1474,70,10,152,27242
1476,87,13,182,27233
1482,70,10,158,27210
1484,114,7,175,27206
1487,109,12,170,27196
1491,80,9,173,27191
1498,96,8,157,27166
1500,60,11,167,27152
1504,110,5,156,27120
1512,109,12,165,27093
1516,109,12,164,27069
1518,42,8,156,27064
1522,55,9,171,27049
1528,70,10,159,27007
1539,80,9,174,26972
