,h,s,v,num
182776,8,219,112,316
185114,8,217,113,306
189912,8,218,116,286
190437,8,220,115,284
200434,22,134,116,246
201329,22,131,119,243
205329,22,132,118,230
206213,22,135,115,227
208762,8,215,114,220
208863,22,133,117,219
213960,22,151,132,204
214955,22,136,114,201
215294,22,152,131,200
217997,22,153,132,193
219234,22,144,140,190
222108,22,180,143,183
222165,22,179,144,183
222705,22,138,113,181
223895,22,129,115,178
223896,23,132,114,178
223897,23,134,112,178
224730,22,147,132,176
225511,23,129,117,174
226469,22,130,120,172
226753,22,155,150,172
226787,22,138,116,172
227121,22,151,133,171
227362,22,154,131,170
227520,21,160,145,170
227896,22,130,114,169
229274,21,146,143,166
229309,22,127,116,166
229621,22,139,112,165
230035,23,133,113,164
230176,22,156,149,164
230404,8,221,114,164
230504,23,131,115,163
230659,22,166,140,163
231202,24,128,149,162
231881,20,145,116,160
232277,18,134,146,160
233044,22,141,143,158
233247,22,176,146,158
233431,22,142,113,157
233768,9,217,115,157
233847,15,174,133,156
233848,22,137,117,156
234443,22,129,121,155
234444,22,141,114,155
234445,21,135,117,155
235031,21,161,144,154
235155,22,174,148,154
235440,22,156,129,153
236005,21,163,142,152
236258,18,190,150,152
236502,22,157,148,151
236606,22,165,141,151
236792,22,140,115,150
237309,8,216,117,150
237310,9,219,114,150
237564,22,140,144,149
237565,21,147,142,149
237641,21,154,134,149
237743,16,196,142,149
237828,23,130,116,148
237975,21,158,140,148
238515,21,154,144,147
238988,21,157,141,146
239256,8,221,119,146
239534,21,155,150,145
239535,22,143,141,145
239798,22,143,114,144
239975,22,150,133,144
240164,22,136,118,144
240439,21,136,116,143
240555,21,162,143,143
240643,22,175,147,143
241037,22,142,142,142
241162,20,160,147,142
241455,22,132,116,141
241456,22,143,112,141
241723,22,163,142,141
241724,22,168,138,141
241795,22,178,145,141
241955,22,148,131,140
242221,18,166,137,140
242530,22,134,120,139
242936,16,197,141,139
243020,21,147,90,138
243200,21,156,149,138
243795,21,153,135,137
243796,22,153,130,137
244092,21,149,89,136
244690,21,134,118,135
244691,22,133,115,135
244844,20,168,143,135
244845,21,151,142,135
244915,24,127,150,135
245023,15,176,132,135
245024,15,172,135,135
245161,8,134,38,134
245214,22,140,111,134
245698,9,221,113,134
245837,22,146,133,133
246301,20,146,115,132
246499,21,160,139,132
246731,15,173,134,132
247145,21,155,143,131
247146,21,151,137,131
247261,19,138,148,131
247262,22,159,146,131
247659,21,152,136,130
247660,22,127,122,130
247688,21,139,114,130
247800,18,196,139,130
247801,18,167,136,130
247900,18,164,138,130
248150,22,131,117,129
248312,22,145,139,129
248439,22,162,143,129
248506,18,162,140,129
249014,22,158,147,128
249015,22,145,111,128
249089,18,169,134,128
249513,22,147,137,127
249628,22,161,144,127
249892,23,128,118,126
250070,21,156,142,126
250105,24,156,93,126
250437,18,193,148,126
250445,8,221,111,126
250593,22,131,113,125
250682,26,158,87,125
250939,21,176,148,125
251089,22,149,130,124
251090,20,144,117,124
251091,21,146,91,124
251283,21,163,147,124
251643,8,223,118,124
251644,11,219,122,124
251808,23,136,111,123
251988,21,145,142,123
251989,20,162,145,123
251990,20,143,118,123
252113,22,167,139,123
252394,20,129,142,122
252395,22,131,132,122
252396,15,177,131,122
252573,20,162,140,122
252574,21,144,143,122
252710,22,181,142,122
252792,16,176,135,122
252852,8,138,37,122
252861,18,150,150,122
253087,21,142,133,121
253088,20,148,114,121
253089,22,144,113,121
253397,22,160,145,121
253398,20,158,150,121
253483,22,173,149,121
253661,21,143,132,120
253662,19,148,141,120
253663,21,144,87,120
253758,26,160,86,120
253849,21,148,141,120
254006,20,128,143,120
254134,21,173,150,120
254242,18,192,149,120
254243,18,151,150,120
254410,22,142,115,119
254577,22,149,135,119
254950,22,137,132,118
254951,21,141,112,118
254952,19,139,147,118
254953,22,145,93,118
255071,26,156,88,118
255152,20,163,139,118
