,h,s,v,num
0,60,255,9,161211
2,60,255,10,110353
3,60,255,11,82350
6,60,255,12,56440
12,66,255,10,48056
41,67,255,9,45044
110,70,255,9,40808
314,60,255,13,35642
434,72,255,10,34172
1347,60,255,14,27861
1977,71,255,11,25442
2503,65,255,11,24002
4611,60,255,15,19398
6322,65,255,13,16536
7662,60,255,16,14717
7723,68,255,11,14634
7752,69,255,10,14600
8656,65,255,12,13592
9087,70,255,12,13196
9099,0,255,10,13183
10567,63,255,10,11920
12119,63,255,9,10739
12290,0,255,11,10622
13131,60,255,17,10042
13333,72,255,13,9900
15910,68,255,12,8514
16319,69,255,13,8338
17426,69,255,14,7868
18989,0,255,9,7281
19549,0,255,13,7091
21673,60,255,18,6435
22984,0,255,14,6060
25366,66,255,14,5482
26745,0,255,15,5195
27591,60,255,19,5039
29477,63,255,11,4717
29971,70,255,15,4638
30429,67,255,13,4570
30729,68,255,15,4524
31003,63,255,12,4480
31913,71,255,14,4346
40521,60,255,20,3376
40692,0,255,17,3359
41054,0,255,12,3326
43261,68,255,16,3148
44733,64,255,15,3041
45366,64,255,14,2991
49175,0,255,18,2732
53135,60,255,21,2503
53640,62,255,13,2472
55128,69,255,16,2398
56916,3,255,9,2310
61403,66,142,9,2104
61614,66,255,16,2096
62300,66,255,15,2068
66181,71,255,16,1920
67769,0,255,20,1862
69274,62,255,15,1809
69500,0,255,16,1800
70037,7,255,9,1781
70749,67,255,17,1758
72632,72,255,15,1698
73367,60,255,22,1675
78194,64,255,16,1536
78543,0,255,21,1527
79401,69,255,17,1506
80083,62,255,14,1489
84067,70,77,20,1392
84572,70,81,19,1380
85537,68,108,26,1358
86512,68,117,24,1336
86513,70,85,18,1336
87423,0,255,22,1316
89569,6,142,9,1268
90655,65,255,17,1246
91107,68,255,18,1236
91503,70,90,17,1228
91900,66,80,16,1220
91924,69,127,26,1220
92082,66,128,10,1216
92509,68,112,25,1208
92937,68,122,23,1200
93014,66,102,25,1198
93143,70,170,9,1196
93429,66,98,26,1190
95322,3,255,10,1153
95924,30,57,9,1141
96791,66,116,11,1124
97145,72,255,17,1118
97207,66,85,15,1116
97852,66,98,13,1104
98187,67,255,18,1098
98417,66,106,24,1094
99013,70,96,16,1082
99362,66,111,23,1076
99584,66,106,12,1072
99638,68,127,22,1072
99950,30,51,10,1066
100855,6,255,10,1050
100867,70,102,15,1050
101606,69,133,25,1038
101625,30,46,11,1037
102091,60,255,23,1029
102184,30,32,16,1027
102525,66,91,14,1022
103273,63,255,18,1010
103409,20,85,9,1007
104016,30,43,12,997
105138,66,255,19,980
105380,30,34,15,976
105512,50,85,9,974
105627,30,28,18,972
106271,30,21,24,962
106458,30,30,17,959
106745,30,20,25,954
106754,30,39,13,954
107644,30,26,20,941
107655,30,36,14,941
108099,30,24,21,934
108241,71,255,17,932
108439,0,255,19,929
108548,30,20,26,927
109569,66,116,22,912
110397,60,198,9,901
110602,70,109,14,898
110845,30,27,19,894
111957,30,22,23,878
112009,69,138,24,878
112618,66,67,19,869
112621,30,23,22,869
112727,71,157,26,868
113203,50,43,18,861
113548,64,255,17,857
113935,57,255,9,852
114862,68,134,21,840
115053,50,70,11,837
115299,50,77,10,834
116609,60,255,24,818
117041,70,118,13,812
117195,50,48,16,810
117344,9,255,10,808
117667,50,45,17,804
118045,68,140,20,800
118071,66,64,20,799
118072,20,70,11,799
118801,50,33,23,790
119069,50,31,25,787
119079,36,142,9,787
119150,20,59,13,786
119308,13,198,9,784
119309,50,51,15,784
119310,50,40,19,784
119311,66,71,18,784
119666,70,128,12,780
119691,69,144,23,780
119731,20,77,10,779
